,id,year,title
0,1,1987,Self-Organization of Associative Database and Its Applications
1,10,1987,A Mean Field Theory of Layer IV of Visual Cortex and Its Application to Artificial Neural Networks
2,100,1988,Storing Covariance by the Associative Long-Term Potentiation and Depression of Synaptic Strengths in the Hippocampus
3,1000,1994,Bayesian Query Construction for Neural Network Models
4,1001,1994,"Neural Network Ensembles, Cross Validation, and Active Learning"
5,1002,1994,Using a neural net to instantiate a deformable model
6,1003,1994,Plasticity-Mediated Competitive Learning
7,1004,1994,ICEG Morphology Classification using an Analogue VLSI Neural Network
8,1005,1994,Real-Time Control of a Tokamak Plasma Using Neural Networks
9,1006,1994,Pulsestream Synapses with Non-Volatile Analogue Amorphous-Silicon Memories
10,1007,1994,Learning to Play the Game of Chess
11,1008,1994,Multidimensional Scaling and Data Clustering
12,1009,1994,An experimental comparison of recurrent neural networks
13,101,1988,Training Multilayer Perceptrons with the Extended Kalman Algorithm
14,1010,1994,Interference in Learning Internal Models of Inverse Dynamics in Humans
15,1011,1994,Active Learning with Statistical Models
16,1012,1994,A Rapid Graph-based Method for Arbitrary Transformation-Invariant Pattern Classification
17,1013,1994,Ocular Dominance and Patterned Lateral Connections in a Self-Organizing Model of the Primary Visual Cortex
18,1014,1994,Associative Decorrelation Dynamics: A Theory of Self-Organization and Optimization in Feedback Networks
19,1015,1994,A Connectionist Technique for Accelerated Textual Input: Letting a Network Do the Typing
20,1016,1994,Connectionist Speaker Normalization with Generalized Resource Allocating Networks
21,1017,1994,A Critical Comparison of Models for Orientation and Ocular Dominance Columns in the Striate Cortex
22,1018,1994,Generalization in Reinforcement Learning: Safely Approximating the Value Function
23,1019,1994,A Mixture Model System for Medical and Machine Diagnosis
24,102,1988,An Application of the Principle of Maximum Information Preservation to Linear Systems
25,1020,1994,A Computational Model of Prefrontal Cortex Function
26,1021,1995,The Gamma MLP for Speech Phoneme Recognition
27,1022,1995,A Multiscale Attentional Framework for Relaxation Neural Networks
28,1023,1995,Correlated Neuronal Response: Time Scales and Mechanisms
29,1024,1995,Onset-based Sound Segmentation
30,1025,1995,A model of transparent motion and non-transparent motion aftereffects
31,1026,1995,A Model of Auditory Streaming
32,1027,1995,REMAP: Recursive Estimation and Maximization of A Posteriori Probabilities - Application to Transition-Based Connectionist Speech Recognition
33,1028,1995,Exponentially many local minima for single neurons
34,1029,1995,A Practical Monte Carlo Implementation of Bayesian Learning
35,103,1988,An Adaptive Network That Learns Sequences of Transitions
36,1030,1995,Neuron-MOS Temporal Winner Search Hardware for Fully-Parallel Data Processing
37,1031,1995,Dynamics of Attention as Near Saddle-Node Bifurcation Behavior
38,1032,1995,VLSI Model of Primate Visual Smooth Pursuit
39,1033,1995,Gradient and Hamiltonian Dynamics Applied to Learning in Neural Networks
40,1034,1995,Is Learning The n-th Thing Any Easier Than Learning The First?
41,1035,1995,A Dynamical Model of Context Dependencies for the Vestibulo-Ocular Reflex
